onset_step,onset_is_pseudo,post_onset_rmse,post_onset_peak,post_onset_mae,post_onset_rmse_yaw,post_onset_peak_yaw,rmse_pos,peak_pos,mae_pos,rmse_yaw,peak_yaw,n_steps,task_final_defined,task_spec_version,task_success_declared,completion_time_declared,time_to_task_tol_declared,final_pos_err_to_target_declared,final_yaw_err_to_target_declared,frac_time_at_goal_declared,task_held_at_end_declared,progress_category_declared,departed_after_entering_declared,task_success,completion_time,time_to_task_tol,final_pos_err_to_target,final_yaw_err_to_target,frac_time_at_goal,task_held_at_end,progress_category,departed_after_entering,declared_not_achieved,achieved_not_declared,diag_recovery_mode,diag_recovery_success,diag_recovery_time,diag_tolerance_m,src_mpc_primary,src_mpc_replacement,src_m5_feedback,src_fallback_first_screen,src_fallback_repeated_check,src_fallback_command_admissibility,src_fallback_solver,src_fallback_deadline,src_supervisor_operating_radius,src_supervisor_no_passing_fallback,src_supervisor_preaction_ineligible_other,src_supervisor_posteligibility_failure,action_src_sum,share_mpc,share_repair_replacement,share_fallback,share_supervisor,share_m5_feedback,rej_first_screen,rej_repeated_check,rej_command_admissibility,rej_fallback_screen,seed_raw_mpc,seed_projected_mpc,seed_p_error,seed_feedback,seed_not_applicable,projection_rate,compensation_rate,effort_force_mean,effort_moment_mean,command_rate_norm,duty_on_time_mean_s,pulse_count_mean,saturation_frac,impulse_proxy_Ns,accel_p95,decision_ms_p50,decision_ms_p95,decision_ms_p99,decision_ms_max,solve_ms_p95,deadline_miss_rate,supervisor_intervention,no_passing_fallback,solver_failure,repair_search_failure,deadline_overrun,numerical_anomaly,episode_deadline_censored,gate_on_frac,n_fault_skips,method,model_seed,seeded,family,condition,ep_seed,N,checkpoint_sha256,feat_mask,repair,reference_version
196,True,1.371602975234626,1.9467690032345133,1.224677110521425,0.04327322573410476,0.10313019425258751,1.5950087609503092,2.0,1.470544232268676,0.035508663600959264,0.10313019425258751,600,True,task_success_v2,False,nan,nan,0.29434899492924105,0.010086368798140979,0.0,False,never_entered_position_tolerance,False,True,56.900000000000006,35.2,0.42310245852967926,0.0014665470496839639,0.058333333333333334,False,task_success,True,False,True,healthy,False,nan,0.662,0.19166666666666668,0.27166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5366666666666666,0.0,0.0,0.0,1.0,0.4633333333333334,0.27166666666666667,0.0,0.5366666666666666,0.0,0.0,0.0,0.0,0.0,0.19166666666666668,0.105,0.006666666666666667,0.16,0.5366666666666666,0.25333333333333335,0.018333333333333333,0.5667090278596051,0.01570973761043716,0.21200667537311205,0.06768427470641505,1.855,0.19791666666666666,48.73267778861882,0.05497931253592733,3.183774999342859,9.205440676305443,9.914828434120864,21.13297604955733,0.27513835,0.0,True,False,False,True,False,False,False,0.4633333333333333,0,M0,,False,step,healthy,800000,12,b8ae316c9af6589c19dd2071c086325f27abdd25f38200f3dcd58f0fa2c20df8,full,True,step
158,True,1.6655493749799628,1.9863935921575606,1.5872321680610109,0.11018573332009933,0.20203751196446174,1.758945142447574,2.0,1.6951762893453697,0.09457163030970508,0.20203751196446174,600,True,task_success_v2,False,nan,nan,1.072345918398294,0.0457380672535641,0.0,False,never_entered_position_tolerance,False,False,nan,nan,1.1512841266205234,0.18856922226177186,0.0,False,never_entered_position_tolerance,False,False,False,healthy,False,nan,0.662,0.11,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6816666666666666,0.0,0.0,0.0,1.0,0.31833333333333336,0.20833333333333334,0.0,0.6816666666666666,0.0,0.0,0.0,0.0,0.0,0.11,0.08666666666666667,0.0016666666666666668,0.12,0.6816666666666666,0.20666666666666667,0.01,0.3899292213194963,0.008626169060053266,0.11559261973360786,0.045885821211102164,1.2883333333333333,0.13333333333333333,33.037791271993555,0.052181571426054604,2.838128013536334,9.333634760696441,12.264037048444134,19.5933619979769,0.2644033499999999,0.0,True,False,False,True,False,False,True,0.31833333333333336,0,M0,,False,step,healthy,800001,12,b8ae316c9af6589c19dd2071c086325f27abdd25f38200f3dcd58f0fa2c20df8,full,True,step
190,True,1.9679015152017731,1.9802147182720506,1.9678956201347888,0.022465850436316357,0.03506141179720057,1.974992246179992,2.0,1.9749581664495894,0.018571165763491337,0.03506141179720057,600,True,task_success_v2,False,nan,nan,2.2809379279986106,0.04655383573426607,0.0,False,never_entered_position_tolerance,False,False,nan,nan,2.1674131846308877,0.0011086515598330848,0.0,False,never_entered_position_tolerance,False,False,False,healthy,False,nan,0.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0012154788245390352,0.000432,0.003208589997264507,0.00030000000000000003,0.025,0.0,0.21600000000000003,2.1060590048197525e-05,2.755197579972446,3.2541417167521995,4.578830152750015,6.048764102160931,0.0,0.0,True,False,False,False,False,False,True,0.0,0,M0,,False,step,healthy,800002,12,b8ae316c9af6589c19dd2071c086325f27abdd25f38200f3dcd58f0fa2c20df8,full,True,step
151,True,1.4893516930044062,1.9806500691698066,1.341381529161476,0.14220523235822638,0.37629821041090716,1.630934874071644,2.0,1.5054668642962468,0.12301643061948853,0.37629821041090716,600,True,task_success_v2,False,nan,nan,0.06856570868470103,0.1319300586067217,0.0,False,position_but_never_simultaneous_yaw,False,True,58.5,41.300000000000004,0.40625444200813854,0.036363659298325864,0.055,False,task_success,True,False,True,healthy,False,nan,0.662,0.19666666666666666,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,1.0,0.43,0.23333333333333334,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.19666666666666666,0.10333333333333333,0.0016666666666666668,0.12833333333333333,0.57,0.22833333333333333,0.01,0.5247195653878666,0.014713375248757897,0.1548729815965847,0.06303585891382868,1.7333333333333334,0.18395833333333333,45.38581841795664,0.05140809860767198,3.0743704410269856,9.403244114946574,10.795875459443776,19.4282119628042,0.26657835,0.0,True,False,False,True,False,False,False,0.43,0,M0,,False,step,healthy,800003,12,b8ae316c9af6589c19dd2071c086325f27abdd25f38200f3dcd58f0fa2c20df8,full,True,step
191,True,2.0478903458064823,2.078802814181794,2.0477760204809403,0.07459128671249615,0.12768133550979455,2.033342180838386,2.078802814181794,2.0331503356818574,0.06158488399289707,0.12768133550979455,600,True,task_success_v2,False,nan,nan,1.9858945547518008,0.13222429285700726,0.0,False,never_entered_position_tolerance,False,False,nan,nan,2.2259347696447316,0.09203987107226386,0.0,False,never_entered_position_tolerance,False,False,False,healthy,False,nan,0.662,0.0016666666666666668,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.9783333333333334,0.0,0.0,0.0,1.0,0.021666666666666667,0.02,0.0,0.9783333333333334,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.011666666666666667,0.0016666666666666668,0.006666666666666667,0.9783333333333334,0.016666666666666666,0.0033333333333333335,0.025985608347963523,0.0012983474110642354,0.033071410259919054,0.0030743114212767654,0.11833333333333333,0.007083333333333333,2.213504223319271,0.00027770520055471135,2.768229926005006,3.7500452133826836,9.390979751478879,24.796884041279554,0.0,0.0,True,False,False,True,False,False,True,0.021666666666666667,0,M0,,False,step,healthy,800004,12,b8ae316c9af6589c19dd2071c086325f27abdd25f38200f3dcd58f0fa2c20df8,full,True,step
180,True,1.9437016571779524,1.9735070793853977,1.9436642433723192,0.0,0.0,1.9574802679866965,2.0,1.9573385661619886,0.0,0.0,600,True,task_success_v2,False,nan,nan,2.3350098405568884,0.06380142134974634,0.0,False,never_entered_position_tolerance,False,False,nan,nan,2.2430323357187163,0.0,0.0,False,never_entered_position_tolerance,False,False,False,healthy,False,nan,0.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003394112549695428,0.0,0.006799557695550106,0.0004,0.03333333333333333,0.0,0.28800000000000003,1.4383374587834903e-05,2.759173046797514,3.146915417164564,3.2817586231976743,4.599177977070212,0.0,0.0,True,False,False,False,False,False,True,0.0,0,M0,,False,step,healthy,800005,12,b8ae316c9af6589c19dd2071c086325f27abdd25f38200f3dcd58f0fa2c20df8,full,True,step
158,True,1.6978779542477564,2.0,1.618778201874729,0.1338996920671498,0.23996510942036453,1.7824108112348294,2.0,1.719166608714384,0.11492515224244482,0.23996510942036453,600,True,task_success_v2,False,nan,nan,1.0718346209370662,0.04618511317722464,0.0,False,never_entered_position_tolerance,False,False,nan,nan,0.9544370281834416,0.19695304507205824,0.0,False,never_entered_position_tolerance,False,False,False,healthy,False,nan,0.662,0.09333333333333334,0.21833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.6883333333333334,0.0,0.0,0.0,1.0,0.31166666666666665,0.21833333333333332,0.0,0.6883333333333334,0.0,0.0,0.0,0.0,0.0,0.095,0.09833333333333333,0.005,0.11333333333333333,0.6883333333333334,0.2,0.0033333333333333335,0.3740093489884291,0.012854036193637345,0.13164529161245456,0.04510267553944825,1.2666666666666666,0.13104166666666667,32.47392638840274,0.05832863302131563,2.850703545846045,15.05308225750923,15.85615650517866,19.421929959207773,0.4171851,0.0,True,False,False,True,False,False,True,0.31166666666666665,0,M0,,False,step,healthy,800006,12,b8ae316c9af6589c19dd2071c086325f27abdd25f38200f3dcd58f0fa2c20df8,full,True,step
176,True,1.920974537831306,1.9848098640714897,1.9206233435531037,0.08872172857141032,0.17205513615762458,1.9429763752027438,2.0,1.942434302879367,0.07458256198308444,0.17205513615762458,600,True,task_success_v2,False,nan,nan,2.3034250703391166,0.22064524610271058,0.0,False,never_entered_position_tolerance,False,False,nan,nan,2.0725749154145574,0.17205513615762458,0.0,False,never_entered_position_tolerance,False,False,False,healthy,False,nan,0.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004072935059634514,0.0009600000000000001,0.010082674576897191,0.00088,0.07333333333333333,0.0,0.6336,9.219712236521303e-05,4.5431931503117085,4.935020313132554,5.296182960737497,5.664662923663855,0.0,0.0,True,False,False,False,False,False,True,0.0,0,M0,,False,step,healthy,800007,12,b8ae316c9af6589c19dd2071c086325f27abdd25f38200f3dcd58f0fa2c20df8,full,True,step
186,True,2.0823704059363424,2.155568154410534,2.082036010140464,0.04102058134674757,0.1032040266443901,2.06191041443011,2.155568154410534,2.0614416448063393,0.03407425398856654,0.1032040266443901,600,True,task_success_v2,False,nan,nan,2.6013514855234257,0.1915107437611442,0.0,False,never_entered_position_tolerance,False,False,nan,nan,2.353982272476601,0.1032040266443901,0.0,False,never_entered_position_tolerance,False,False,False,healthy,False,nan,0.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.006788225099390856,0.000192,0.013983756459547624,0.00088,0.07333333333333333,0.0,0.6336,7.537325597485736e-05,4.547899006865919,5.057106609456241,5.30731086852029,6.354980869218707,0.0,0.0,True,False,False,False,False,False,True,0.0,0,M0,,False,step,healthy,800008,12,b8ae316c9af6589c19dd2071c086325f27abdd25f38200f3dcd58f0fa2c20df8,full,True,step
151,True,1.182020589587599,2.0,0.9884277305811273,0.14715290325618233,0.3459307425446734,1.4325562994869507,2.0,1.2430067517182102,0.1272964757602555,0.3459307425446734,600,True,task_success_v2,False,nan,nan,0.21768794981190376,0.04608502063398643,0.045,False,both_tolerances_but_no_dwell,True,True,47.2,30.0,0.28979201498339313,0.10556539205326043,0.13333333333333333,True,task_success,True,False,True,healthy,False,nan,0.662,0.24333333333333335,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.39166666666666666,0.0,0.0,0.0,1.0,0.6083333333333334,0.365,0.0,0.39166666666666666,0.0,0.0,0.0,0.0,0.0,0.245,0.125,0.01,0.22833333333333333,0.39166666666666666,0.3466666666666667,0.015,0.7158441564208441,0.029099842162105847,0.2933630459727771,0.08637293665008898,2.43,0.24791666666666667,62.188514388064064,0.06100686763967002,5.536506650969386,15.626953321043402,16.163181643933058,36.49472096003592,0.41647445,0.0,True,False,False,True,False,False,False,0.6083333333333333,0,M0,,False,step,healthy,800009,12,b8ae316c9af6589c19dd2071c086325f27abdd25f38200f3dcd58f0fa2c20df8,full,True,step
